,Player,Tm,Age,G,GS,Att_Rush,Yds (Rush),Y/A,TD (Rush),Tgt,Rec,Yds_Rec,Yds_per_rec,TD (Rec),Fmb,FL,TD,2PM,2PP,PPR,Total_Snaps,Avg Snaps,TM SNAP %,PPR_PassAtt,PPR_Rush,PPR_RushAtt,Tot_PPR_Rec,PPR_Tgt,Tgt_gm,PPR_Rec,PPR_Snap,Year
14,GEORGE KITTLE,SFO,31.0,15.0,15.0,0.0,0.0,,0.0,94.0,78.0,1106.0,14.18,8.0,0.0,0.0,8.0,0.0,0.0,236.6,808,53,74.9,,0.0,,236.6,2.5170212765957447,6.266666666666667,3.0333333333333337,0.2928217821782178,2024
19,BROCK BOWERS,LVR,22.0,17.0,16.0,5.0,13.0,2.6,0.0,153.0,112.0,1194.0,10.66,5.0,0.0,0.0,5.0,0.0,0.0,262.7,956,56,85.1,,1.3,0.26,261.4,1.7084967320261435,9.0,2.333928571428572,0.2747907949790795,2024
23,TREY MCBRIDE,ARI,25.0,16.0,16.0,1.0,2.0,2.0,1.0,147.0,111.0,1146.0,10.32,2.0,0.0,0.0,4.0,0.0,0.0,249.8,934,58,85.2,,6.2,6.2,237.6,1.616326530612245,9.1875,2.140540540540541,0.2674518201284797,2024
27,JONNU SMITH,MIA,29.0,17.0,6.0,2.0,-1.0,-0.5,0.0,111.0,88.0,884.0,10.05,8.0,2.0,1.0,8.0,0.0,0.0,222.3,626,36,55.0,,-0.1,-0.05,224.4,2.021621621621622,6.529411764705882,2.5500000000000003,0.355111821086262,2024
28,MARK ANDREWS,BAL,29.0,17.0,13.0,4.0,5.0,1.25,0.0,69.0,55.0,673.0,12.24,11.0,0.0,0.0,11.0,0.0,0.0,188.8,682,40,61.4,,0.5,0.125,188.3,2.728985507246377,4.0588235294117645,3.423636363636364,0.2768328445747801,2024
40,SAM LAPORTA,DET,23.0,16.0,16.0,0.0,0.0,,0.0,83.0,60.0,726.0,12.1,7.0,0.0,0.0,7.0,0.0,0.0,174.6,910,56,79.4,,0.0,,174.60000000000002,2.1036144578313256,5.1875,2.9100000000000006,0.1918681318681318,2024
43,TUCKER KRAFT,GNB,24.0,17.0,17.0,3.0,6.0,2.0,0.0,70.0,50.0,707.0,14.14,7.0,1.0,1.0,7.0,1.0,0.0,163.3,925,54,85.3,,0.6000000000000001,0.2,162.7,2.3242857142857143,4.117647058823529,3.254,0.1765405405405405,2024
44,ZACH ERTZ,WAS,34.0,17.0,17.0,0.0,0.0,,0.0,91.0,66.0,654.0,9.91,7.0,1.0,0.0,7.0,2.0,0.0,177.4,771,45,66.3,,0.0,,173.4,1.9054945054945056,5.352941176470588,2.6272727272727274,0.2300907911802853,2024
56,PAT FREIERMUTH,PIT,26.0,17.0,11.0,0.0,0.0,,0.0,78.0,65.0,653.0,10.05,7.0,3.0,2.0,7.0,0.0,0.0,168.3,776,45,68.7,,0.0,,172.3,2.208974358974359,4.588235294117647,2.6507692307692308,0.216881443298969,2024
58,TRAVIS KELCE,KAN,35.0,16.0,16.0,1.0,1.0,1.0,0.0,133.0,97.0,823.0,8.48,3.0,2.0,1.0,3.0,0.0,0.0,195.4,940,58,81.9,,0.1,0.1,197.3,1.4834586466165414,8.3125,2.0340206185567014,0.2078723404255319,2024
148,DAVID NJOKU,CLE,28.0,11.0,11.0,0.0,0.0,,0.0,97.0,64.0,505.0,7.89,5.0,0.0,0.0,5.0,2.0,0.0,148.5,589,53,52.5,,0.0,,144.5,1.4896907216494846,8.818181818181818,2.2578125,0.2521222410865874,2024
151,KYLE PITTS,ATL,24.0,17.0,15.0,0.0,0.0,,0.0,74.0,47.0,602.0,12.81,4.0,0.0,0.0,4.0,0.0,0.0,131.2,662,41,61.9,,0.0,,131.2,1.7729729729729728,4.352941176470588,2.7914893617021272,0.1981873111782477,2024
156,ISAIAH LIKELY,BAL,24.0,16.0,9.0,0.0,0.0,,0.0,58.0,42.0,477.0,11.36,6.0,1.0,1.0,6.0,0.0,0.0,123.7,627,39,56.5,,0.0,,125.7,2.1672413793103447,3.625,2.992857142857143,0.1972886762360446,2024
157,CADE OTTON,TAM,25.0,14.0,14.0,1.0,-4.0,-4.0,0.0,87.0,59.0,600.0,10.17,4.0,2.0,1.0,4.0,0.0,0.0,140.6,856,61,75.0,,-0.4,-0.4,143.0,1.6436781609195403,6.214285714285714,2.4237288135593222,0.1642523364485981,2024
165,HUNTER HENRY,NWE,30.0,16.0,16.0,0.0,0.0,,0.0,97.0,66.0,674.0,10.21,2.0,0.0,0.0,2.0,0.0,0.0,145.4,835,52,76.4,,0.0,,145.4,1.4989690721649485,6.0625,2.203030303030303,0.1741317365269461,2024
166,TAYSOM HILL,NOR,34.0,8.0,8.0,39.0,278.0,7.13,6.0,31.0,23.0,187.0,8.13,0.0,1.0,1.0,6.0,0.0,0.0,102.3,225,28,28.7,-0.29,63.8,1.635897435897436,41.7,1.3451612903225807,3.875,1.8130434782608695,0.4546666666666666,2024
169,MIKE GESICKI,CIN,29.0,17.0,3.0,0.0,0.0,,0.0,83.0,65.0,665.0,10.23,2.0,1.0,1.0,2.0,0.0,0.0,141.5,523,30,46.0,,0.0,,143.5,1.7289156626506024,4.882352941176471,2.207692307692308,0.2705544933078393,2024
177,NOAH GRAY,KAN,25.0,17.0,10.0,1.0,-4.0,-4.0,0.0,49.0,40.0,437.0,10.93,5.0,0.0,0.0,5.0,0.0,0.0,113.3,664,39,57.8,,-0.4,-0.4,113.7,2.320408163265306,2.8823529411764706,2.8425,0.1706325301204819,2024
178,JUWAN JOHNSON,NOR,28.0,17.0,5.0,0.0,0.0,,0.0,66.0,50.0,548.0,10.96,3.0,2.0,0.0,3.0,0.0,0.0,122.8,697,41,64.1,,0.0,,122.8,1.8606060606060608,3.882352941176471,2.4560000000000004,0.176183644189383,2024
179,COLE KMET,CHI,25.0,17.0,16.0,0.0,0.0,,0.0,55.0,47.0,474.0,10.09,4.0,0.0,0.0,4.0,1.0,0.0,120.4,994,58,87.5,,0.0,,118.4,2.152727272727273,3.235294117647059,2.519148936170213,0.1211267605633802,2024
184,TYLER CONKLIN,NYJ,29.0,16.0,15.0,1.0,0.0,0.0,0.0,72.0,51.0,449.0,8.8,4.0,0.0,0.0,4.0,1.0,0.0,121.9,805,50,75.5,,0.0,0.0,119.9,1.665277777777778,4.5,2.350980392156863,0.1514285714285714,2024
185,FOSTER MOREAU,NOR,27.0,17.0,17.0,0.0,0.0,,0.0,43.0,32.0,413.0,12.91,5.0,0.0,0.0,5.0,0.0,0.0,103.3,752,44,69.1,,0.0,,103.3,2.402325581395349,2.5294117647058822,3.2281250000000004,0.1373670212765957,2024
194,DALTON SCHULTZ,HOU,28.0,17.0,13.0,0.0,0.0,,0.0,85.0,53.0,532.0,10.04,2.0,0.0,0.0,2.0,0.0,0.0,118.2,865,50,78.1,,0.0,,118.2,1.3905882352941177,5.0,2.230188679245283,0.1366473988439306,2024
196,AUSTIN HOOPER,NWE,30.0,17.0,8.0,0.0,0.0,,0.0,59.0,45.0,476.0,10.58,3.0,2.0,1.0,3.0,0.0,0.0,108.6,575,33,52.6,,0.0,,110.6,1.8745762711864409,3.4705882352941178,2.457777777777778,0.1888695652173913,2024
199,DALLAS GOEDERT,PHI,29.0,10.0,10.0,0.0,0.0,,0.0,52.0,42.0,496.0,11.81,2.0,2.0,0.0,2.0,0.0,0.0,103.6,377,44,50.7,,0.0,,103.6,1.992307692307692,5.2,2.4666666666666663,0.2748010610079575,2024
200,CHIGOZIEM OKONKWO,TEN,25.0,17.0,11.0,1.0,17.0,17.0,0.0,70.0,52.0,479.0,9.21,2.0,2.0,1.0,2.0,1.0,0.0,113.6,665,39,60.8,,1.7000000000000002,1.7000000000000002,111.9,1.5985714285714288,4.117647058823529,2.151923076923077,0.1708270676691729,2024
205,WILL DISSLY,LAC,28.0,15.0,8.0,0.0,0.0,,0.0,64.0,50.0,481.0,9.62,2.0,0.0,0.0,2.0,0.0,0.0,110.1,540,36,50.6,,0.0,,110.1,1.7203125,4.266666666666667,2.202,0.2038888888888888,2024
214,DALTON KINCAID,BUF,25.0,13.0,9.0,0.0,0.0,,0.0,75.0,44.0,448.0,10.18,2.0,1.0,0.0,2.0,0.0,0.0,100.8,471,36,43.3,,0.0,,100.8,1.344,5.769230769230769,2.290909090909091,0.2140127388535031,2024
215,NOAH FANT,SEA,27.0,14.0,9.0,0.0,0.0,,0.0,64.0,48.0,500.0,10.42,1.0,0.0,0.0,1.0,0.0,0.0,104.0,569,40,51.7,,0.0,,104.0,1.625,4.571428571428571,2.1666666666666665,0.1827768014059754,2024
224,JORDAN AKINS,CLE,32.0,17.0,6.0,0.0,0.0,,0.0,58.0,40.0,390.0,9.75,2.0,1.0,0.0,2.0,0.0,0.0,91.0,456,26,38.6,,0.0,,91.0,1.5689655172413792,3.411764705882353,2.275,0.1995614035087719,2024
226,BRENTON STRANGE,JAX,24.0,17.0,10.0,0.0,0.0,,0.0,53.0,40.0,411.0,10.28,2.0,1.0,1.0,2.0,0.0,0.0,91.1,575,33,55.7,,0.0,,93.1,1.7566037735849056,3.117647058823529,2.3275,0.1584347826086956,2024
228,AJ BARNER,SEA,22.0,17.0,6.0,0.0,0.0,,0.0,38.0,30.0,245.0,8.17,4.0,0.0,0.0,4.0,0.0,0.0,78.5,501,29,45.5,,0.0,,78.5,2.0657894736842106,2.235294117647059,2.6166666666666667,0.156686626746507,2024
232,TJ HOCKENSON,MIN,27.0,10.0,9.0,0.0,0.0,,0.0,62.0,41.0,455.0,11.1,0.0,0.0,0.0,0.0,0.0,0.0,86.5,423,42,61.0,,0.0,,86.5,1.3951612903225807,6.2,2.109756097560976,0.2044917257683215,2024
235,JAKE FERGUSON,DAL,25.0,14.0,14.0,0.0,0.0,,0.0,86.0,59.0,494.0,8.37,0.0,4.0,2.0,0.0,0.0,0.0,104.4,616,44,52.6,,0.0,,108.4,1.26046511627907,6.142857142857143,1.8372881355932205,0.1694805194805194,2024
241,JOSH OLIVER,MIN,27.0,15.0,12.0,0.0,0.0,,0.0,28.0,22.0,258.0,11.73,3.0,0.0,0.0,3.0,0.0,0.0,65.8,552,36,49.4,,0.0,,65.8,2.35,1.8666666666666667,2.9909090909090907,0.1192028985507246,2024
243,EVAN ENGRAM,JAX,30.0,9.0,9.0,0.0,0.0,,0.0,64.0,47.0,365.0,7.77,1.0,1.0,1.0,1.0,1.0,0.0,89.5,363,40,48.1,,0.0,,89.5,1.3984375,7.111111111111111,1.904255319148936,0.2465564738292011,2024
250,JA'TAVION SANDERS,CAR,21.0,16.0,8.0,0.0,0.0,,0.0,43.0,33.0,342.0,10.36,1.0,1.0,0.0,1.0,0.0,0.0,73.2,531,33,51.4,,0.0,,73.2,1.7023255813953488,2.6875,2.2181818181818183,0.1378531073446327,2024
254,THEO JOHNSON,NYG,23.0,12.0,11.0,0.0,0.0,,0.0,43.0,29.0,331.0,11.41,1.0,0.0,0.0,1.0,0.0,0.0,68.1,683,56,84.2,,0.0,,68.1,1.583720930232558,3.583333333333333,2.348275862068965,0.0997071742313323,2024
260,DAWSON KNOX,BUF,28.0,16.0,13.0,0.0,0.0,,0.0,33.0,22.0,311.0,14.14,1.0,0.0,0.0,1.0,0.0,0.0,59.1,618,38,56.8,,0.0,,59.1,1.790909090909091,2.0625,2.6863636363636365,0.095631067961165,2024
262,GRANT CALCATERRA,PHI,26.0,17.0,13.0,0.0,0.0,,0.0,30.0,24.0,298.0,12.42,1.0,0.0,0.0,1.0,0.0,0.0,59.8,738,45,66.2,,0.0,,59.8,1.9933333333333327,1.7647058823529411,2.4916666666666667,0.0810298102981029,2024
266,COLBY PARKINSON,LAR,25.0,17.0,9.0,0.0,0.0,,0.0,49.0,30.0,294.0,9.8,1.0,0.0,0.0,1.0,0.0,0.0,65.4,601,35,55.1,,0.0,,65.4,1.3346938775510204,2.8823529411764706,2.18,0.1088186356073211,2024
273,TOMMY TREMBLE,CAR,24.0,12.0,11.0,0.0,0.0,,0.0,32.0,23.0,234.0,10.17,2.0,1.0,1.0,2.0,0.0,0.0,56.4,513,42,49.6,,0.0,,58.400000000000006,1.825,2.6666666666666665,2.539130434782609,0.1099415204678362,2024
274,JOSH WHYLE,TEN,25.0,17.0,4.0,0.0,0.0,,0.0,37.0,28.0,248.0,8.86,1.0,0.0,0.0,1.0,1.0,0.0,60.8,345,20,31.5,,0.0,,58.8,1.5891891891891892,2.176470588235294,2.1,0.176231884057971,2024
275,NICK VANNETT,TEN,31.0,17.0,10.0,0.0,0.0,,0.0,20.0,17.0,135.0,7.94,3.0,0.0,0.0,3.0,0.0,0.0,48.5,399,23,36.5,,0.0,,48.5,2.425,1.1764705882352942,2.8529411764705883,0.1215538847117794,2024
281,ADAM TRAUTMAN,DEN,27.0,17.0,14.0,0.0,0.0,,0.0,22.0,13.0,188.0,14.46,2.0,0.0,0.0,2.0,0.0,0.0,43.8,574,33,52.1,,0.0,,43.8,1.9909090909090907,1.2941176470588236,3.369230769230769,0.0763066202090592,2024
284,NATE ADKINS,DEN,25.0,17.0,10.0,0.0,0.0,,0.0,15.0,14.0,115.0,8.21,3.0,0.0,0.0,3.0,0.0,0.0,43.5,420,24,38.1,,0.0,,43.5,2.9,0.8823529411764706,3.107142857142857,0.1035714285714285,2024
286,LUKE SCHOONMAKER,DAL,26.0,17.0,6.0,0.0,0.0,,0.0,36.0,27.0,241.0,8.93,1.0,0.0,0.0,1.0,0.0,0.0,57.1,411,24,35.1,,0.0,,57.1,1.5861111111111112,2.117647058823529,2.1148148148148147,0.1389294403892944,2024
288,ELIJAH HIGGINS,ARI,24.0,17.0,6.0,0.0,0.0,,0.0,24.0,20.0,172.0,8.6,2.0,0.0,0.0,2.0,0.0,0.0,49.2,411,24,37.5,,0.0,,49.2,2.0500000000000003,1.411764705882353,2.46,0.1197080291970803,2024
297,JOHNNY MUNDT,MIN,30.0,17.0,3.0,0.0,0.0,,0.0,27.0,19.0,142.0,7.47,2.0,0.0,0.0,2.0,0.0,0.0,45.2,434,25,38.9,,0.0,,45.2,1.6740740740740745,1.588235294117647,2.378947368421053,0.104147465437788,2024
299,DARNELL WASHINGTON,PIT,23.0,17.0,9.0,0.0,0.0,,0.0,25.0,19.0,200.0,10.53,1.0,0.0,0.0,1.0,0.0,0.0,45.0,584,34,51.7,,0.0,,45.0,1.8,1.4705882352941178,2.3684210526315788,0.0770547945205479,2024
307,PAYNE DURHAM,TAM,24.0,16.0,6.0,0.0,0.0,,0.0,14.0,11.0,115.0,10.45,2.0,1.0,0.0,2.0,0.0,0.0,34.5,430,26,37.7,,0.0,,34.5,2.4642857142857144,0.875,3.136363636363636,0.0802325581395348,2024
318,BROCK WRIGHT,DET,26.0,17.0,8.0,0.0,0.0,,0.0,16.0,13.0,100.0,7.69,2.0,0.0,0.0,2.0,0.0,0.0,35.0,583,34,50.9,,0.0,,35.0,2.1875,0.9411764705882352,2.6923076923076925,0.0600343053173241,2024
319,MO ALIE-COX,IND,31.0,17.0,13.0,0.0,0.0,,0.0,22.0,12.0,147.0,12.25,1.0,0.0,0.0,1.0,0.0,0.0,32.7,475,27,43.7,,0.0,,32.7,1.4863636363636366,1.2941176470588236,2.725,0.0688421052631579,2024
325,TANNER HUDSON,CIN,30.0,11.0,0.0,1.0,1.0,1.0,0.0,23.0,19.0,154.0,8.11,1.0,1.0,1.0,1.0,0.0,0.0,38.5,119,10,10.5,,0.1,0.1,40.4,1.7565217391304346,2.090909090909091,2.126315789473684,0.3235294117647059,2024
